tile,format,bytes,bpp
45455/71495.jpeg,xuastc10x10,10363,1.265
45455/71496.jpeg,xuastc10x10,10202,1.245
45455/71497.jpeg,xuastc10x10,10244,1.250
45452/71494.jpeg,xuastc12x12,7435,0.908
45452/71495.jpeg,xuastc12x12,7405,0.904
45452/71496.jpeg,xuastc12x12,7483,0.913
45452/71497.jpeg,xuastc12x12,7468,0.912
45453/71494.jpeg,xuastc12x12,7369,0.900
45453/71495.jpeg,xuastc12x12,7509,0.917
45453/71496.jpeg,xuastc12x12,7522,0.918
45453/71497.jpeg,xuastc12x12,7413,0.905
45454/71494.jpeg,xuastc12x12,7530,0.919
45454/71495.jpeg,xuastc12x12,7458,0.910
45454/71496.jpeg,xuastc12x12,7523,0.918
45454/71497.jpeg,xuastc12x12,7322,0.894
45455/71494.jpeg,xuastc12x12,7408,0.904
45455/71495.jpeg,xuastc12x12,7502,0.916
45455/71496.jpeg,xuastc12x12,7487,0.914
45455/71497.jpeg,xuastc12x12,7428,0.907
45452/71494.jpeg,etc1s_q255,20921,2.554
45452/71495.jpeg,etc1s_q255,21001,2.564
45452/71496.jpeg,etc1s_q255,21276,2.597
45452/71497.jpeg,etc1s_q255,21502,2.625
45453/71494.jpeg,etc1s_q255,21522,2.627
45453/71495.jpeg,etc1s_q255,20730,2.531
45453/71496.jpeg,etc1s_q255,20634,2.519
45453/71497.jpeg,etc1s_q255,21390,2.611
45454/71494.jpeg,etc1s_q255,21215,2.590
45454/71495.jpeg,etc1s_q255,21329,2.604
45454/71496.jpeg,etc1s_q255,21505,2.625
45454/71497.jpeg,etc1s_q255,21843,2.666
45455/71494.jpeg,etc1s_q255,21628,2.640
45455/71495.jpeg,etc1s_q255,21546,2.630
45455/71496.jpeg,etc1s_q255,21316,2.602
45455/71497.jpeg,etc1s_q255,21790,2.660
45452/71494.jpeg,etc1s_q192,16300,1.990
45452/71495.jpeg,etc1s_q192,16303,1.990
45452/71496.jpeg,etc1s_q192,16476,2.011
45452/71497.jpeg,etc1s_q192,16619,2.029
45453/71494.jpeg,etc1s_q192,16631,2.030
45453/71495.jpeg,etc1s_q192,16094,1.965
45453/71496.jpeg,etc1s_q192,15922,1.944
45453/71497.jpeg,etc1s_q192,16542,2.019
45454/71494.jpeg,etc1s_q192,16590,2.025
45454/71495.jpeg,etc1s_q192,16540,2.019
45454/71496.jpeg,etc1s_q192,16690,2.037
45454/71497.jpeg,etc1s_q192,16960,2.070
45455/71494.jpeg,etc1s_q192,16771,2.047
45455/71495.jpeg,etc1s_q192,16642,2.031
45455/71496.jpeg,etc1s_q192,16606,2.027
45455/71497.jpeg,etc1s_q192,16876,2.060
45452/71494.jpeg,uastc4x4_rdo,59648,7.281
45452/71495.jpeg,uastc4x4_rdo,59413,7.253
45452/71496.jpeg,uastc4x4_rdo,61517,7.509
45452/71497.jpeg,uastc4x4_rdo,61842,7.549
45453/71494.jpeg,uastc4x4_rdo,62048,7.574
45453/71495.jpeg,uastc4x4_rdo,59294,7.238
45453/71496.jpeg,uastc4x4_rdo,58498,7.141
45453/71497.jpeg,uastc4x4_rdo,61383,7.493
45454/71494.jpeg,uastc4x4_rdo,60548,7.391
45454/71495.jpeg,uastc4x4_rdo,61516,7.509
45454/71496.jpeg,uastc4x4_rdo,60979,7.444
45454/71497.jpeg,uastc4x4_rdo,61588,7.518
45455/71494.jpeg,uastc4x4_rdo,61706,7.532
45455/71495.jpeg,uastc4x4_rdo,61861,7.551
45455/71496.jpeg,uastc4x4_rdo,60404,7.374
45455/71497.jpeg,uastc4x4_rdo,62445,7.623
45452/71494.jpeg,xuastc6x6_q75,23092,2.819
45452/71495.jpeg,xuastc6x6_q75,22681,2.769
45452/71496.jpeg,xuastc6x6_q75,23735,2.897
45452/71497.jpeg,xuastc6x6_q75,23652,2.887
45453/71494.jpeg,xuastc6x6_q75,24485,2.989
45453/71495.jpeg,xuastc6x6_q75,22061,2.693
45453/71496.jpeg,xuastc6x6_q75,21553,2.631
45453/71497.jpeg,xuastc6x6_q75,23672,2.890
45454/71494.jpeg,xuastc6x6_q75,23608,2.882
45454/71495.jpeg,xuastc6x6_q75,24057,2.937
45454/71496.jpeg,xuastc6x6_q75,23486,2.867
45454/71497.jpeg,xuastc6x6_q75,24106,2.943
45455/71494.jpeg,xuastc6x6_q75,24446,2.984
45455/71495.jpeg,xuastc6x6_q75,24353,2.973
45455/71496.jpeg,xuastc6x6_q75,23397,2.856
45455/71497.jpeg,xuastc6x6_q75,24344,2.972
45452/71494.jpeg,xuastc8x8_q75,15736,1.921
45452/71495.jpeg,xuastc8x8_q75,15507,1.893
45452/71496.jpeg,xuastc8x8_q75,15702,1.917
45452/71497.jpeg,xuastc8x8_q75,15779,1.926
45453/71494.jpeg,xuastc8x8_q75,15914,1.943
45453/71495.jpeg,xuastc8x8_q75,15634,1.908
45453/71496.jpeg,xuastc8x8_q75,15680,1.914
45453/71497.jpeg,xuastc8x8_q75,15653,1.911
45454/71494.jpeg,xuastc8x8_q75,15733,1.921
45454/71495.jpeg,xuastc8x8_q75,15596,1.904
45454/71496.jpeg,xuastc8x8_q75,15739,1.921
45454/71497.jpeg,xuastc8x8_q75,15763,1.924
45455/71494.jpeg,xuastc8x8_q75,15892,1.940
45455/71495.jpeg,xuastc8x8_q75,15763,1.924
45455/71496.jpeg,xuastc8x8_q75,15801,1.929
45455/71497.jpeg,xuastc8x8_q75,15883,1.939
45452/71494.jpeg,xubc7,47543,5.804
45452/71495.jpeg,xubc7,47733,5.827
45452/71496.jpeg,xubc7,48057,5.866
45452/71497.jpeg,xubc7,47911,5.849
45453/71494.jpeg,xubc7,48470,5.917
45453/71495.jpeg,xubc7,46858,5.720
45453/71496.jpeg,xubc7,46572,5.685
45453/71497.jpeg,xubc7,47587,5.809
45454/71494.jpeg,xubc7,48858,5.964
45454/71495.jpeg,xubc7,48827,5.960
45454/71496.jpeg,xubc7,48212,5.885
45454/71497.jpeg,xubc7,48621,5.935
45455/71494.jpeg,xubc7,49454,6.037
45455/71495.jpeg,xubc7,49453,6.037
45455/71496.jpeg,xubc7,48877,5.966
45455/71497.jpeg,xubc7,49534,6.047
45452/71494.jpeg,xubc7_q75,36922,4.507
45452/71495.jpeg,xubc7_q75,37434,4.570
45452/71496.jpeg,xubc7_q75,38766,4.732
45452/71497.jpeg,xubc7_q75,38632,4.716
45453/71494.jpeg,xubc7_q75,39076,4.770
45453/71495.jpeg,xubc7_q75,35032,4.276
45453/71496.jpeg,xubc7_q75,33835,4.130
45453/71497.jpeg,xubc7_q75,38276,4.672
45454/71494.jpeg,xubc7_q75,39068,4.769
45454/71495.jpeg,xubc7_q75,40471,4.940
45454/71496.jpeg,xubc7_q75,38729,4.728
45454/71497.jpeg,xubc7_q75,39791,4.857
45455/71494.jpeg,xubc7_q75,40513,4.945
45455/71495.jpeg,xubc7_q75,40663,4.964
45455/71496.jpeg,xubc7_q75,38872,4.745
45455/71497.jpeg,xubc7_q75,40999,5.005
45452/71494.jpeg,xubc7_q40,29928,3.653
45452/71495.jpeg,xubc7_q40,30140,3.679
45452/71496.jpeg,xubc7_q40,31051,3.790
45452/71497.jpeg,xubc7_q40,30913,3.774
45453/71494.jpeg,xubc7_q40,31371,3.829
45453/71495.jpeg,xubc7_q40,28526,3.482
45453/71496.jpeg,xubc7_q40,27629,3.373
45453/71497.jpeg,xubc7_q40,30698,3.747
45454/71494.jpeg,xubc7_q40,31658,3.865
45454/71495.jpeg,xubc7_q40,32709,3.993
45454/71496.jpeg,xubc7_q40,31159,3.804
45454/71497.jpeg,xubc7_q40,31895,3.893
45455/71494.jpeg,xubc7_q40,33000,4.028
45455/71495.jpeg,xubc7_q40,33101,4.041
45455/71496.jpeg,xubc7_q40,31707,3.870
45455/71497.jpeg,xubc7_q40,32882,4.014
